disease,Disease Category
-Dengue hemorrhagic fever,Infectious Diseases
"33 WEEKS PREGANACY, SEVERE IUGR, SEVERE OLIGOHYDROAMIOS WITH PRE ECLAMPSIA",Maternity & Reproductive Health
38WEEK PREGNENCY,Maternity & Reproductive Health
aaaaa,Other
abc,Other
ABDOMEN WALL LIPOMA,Gastrointestinal Disorders
abdominal pain,Gastrointestinal Disorders
Abnormal Uterine Bleeding,Maternity & Reproductive Health (Uterine)
Abnormalities of breathing,Respiratory Disorders
Accidental,Other (Injury Type)
Accidental,Other (Injury Type)
ACL reconstruction with Medial meniscus tear,Musculoskeletal Disorders (Knee)
acl tear,Musculoskeletal Disorders
ACS,Heart Ailments
ACUTE ABDOMEN + Appendicitis,Gastrointestinal Disorders (Acute)
"ACUTE ABDOMEN, SHOCK",Gastrointestinal Disorders (Acute)
acute apendicitis,Gastrointestinal Disorders
ACUTE APPENDICITIS,Gastrointestinal Disorders
ACUTE BALANOPOSTHITIS,Genitourinary Disorders
ACUTE BRONCHIOLITIS,Respiratory Disorders
Acute Calculus Cholecystitis,Gastrointestinal Disorders
ACUTE CHOLECYSTITIS,Gastrointestinal Disorders
Acute Cholelithiasis - Medical management,Gastrointestinal Disorders
acute febrile illness,Infectious Diseases
acute febrile illness,Infectious Diseases
ACUTE FEBRILE ILLNESS,Infectious Diseases
ACUTE FEBRILE ILLNESS,Infectious Diseases
ACUTE FEBRILE ILLNESS,Infectious Diseases
ACUTE FEBRILE ILLNESS VIRAL FEVER THROMBOCYTOPENIA WEILFELIX POSITIVE,Infectious Diseases
ACUTE GASTRITIS WITH DEHYDRATION,Gastrointestinal Disorders (with Dehydration)
Acute gastritis without bleeding,Gastrointestinal Disorders
Acute gastro enteritis / AGE,Gastrointestinal Disorders
ACUTE GASTRO ENTRITIS,Gastrointestinal Disorders
ACUTE GASTROENTERITIS,Gastrointestinal Disorders
Acute Gastroenteritis,Gastrointestinal Disorders
ACUTE GASTROENTERITIS,Gastrointestinal Disorders
Acute Gastroenteritis . With Severe Dehydration With Hypotension . Hyponatremia,Infectious Diseases
Acute Gastroenteritis . With Severe Dehydration With Hypotension . Hyponatremia,Infectious Diseases
Acute Gastroenteritis . With Severe Dehydration With Hypotension . Hyponatremia,Infectious Diseases
Acute Gastroenteritis . With Severe Dehydration With Hypotension . Hyponatremia,Infectious Diseases
Acute gastroenteritis with dehydration.,Gastrointestinal Disorders (with Dehydration)
Acute Gastroenteritis With Severe Dehydration,Infectious Diseases
ACUTE GE WITH SEVER DEHYDRATION,Gastrointestinal Disorders (with Dehydration)
Acute Infective Enteritis with Enteric fever,"Infectious Diseases, Gastrointestinal Disorders"
"ACUTE INFERIOR WALL STEMI , CAD WITH SVD",Heart Ailments
Acute mastoiditis,"Ear, Nose & Throat Disorders"
ACUTE PANCREATITIS,Gastrointestinal Disorders
Acute pancreatitis,Gastrointestinal Disorders
ACUTE RENAL FAILURE,Kidney Ailments
Acute Viral Fever With Thrombocytopenia,Infectious Diseases
Acute Viral Fever With Thrombocytopenia,Infectious Diseases
Acute Viral Fever With Thrombocytopenia,Infectious Diseases
Acute Viral Fever With Thrombocytopenia,Infectious Diseases
ADENOCARCINOMA OF LUNG,Cancer (Respiratory)
ADENOID HYPERTROPHY,"Ear, Nose & Throat Disorders"
Adenoiditis With Chronic Rhinosinusitis,Respiratory Disorders
AFI,Maternity & Reproductive Health
Afi,Maternity & Reproductive Health
AFI,Maternity & Reproductive Health
AFI,Maternity & Reproductive Health
AFI,Maternity & Reproductive Health
AFI,Maternity & Reproductive Health
AFI,Maternity & Reproductive Health
"AFI , DENGUE ve","Maternity & Reproductive Health, Infectious Diseases"
AFI Convulsion,Maternity & Reproductive Health
afi entric fever,"Maternity & Reproductive Health, Infectious Diseases"
AFI WITH AGE,"Maternity & Reproductive Health, Gastrointestinal Disorders"
AFI with AGE with Colitis,"Maternity & Reproductive Health, Infectious Diseases, Gastrointestinal Disorders"
AFI WITH TCP,Maternity & Reproductive Health
"AFI, ACUTE ABD, ENTERIC FEVER","Maternity & Reproductive Health, Infectious Diseases"
AFI/ Seizure,Maternity & Reproductive Health (with Seizures)
AGA WITH SEPTICEMIA,Other (Neonatal Sepsis)
AGE,Other
AGE,Other
AGE,Other
AGE,Other
AGE,Other
AGE,Other
AGE,Other
age,Other
"AGE , ENETRIC FEVER",Infectious Diseases
"AGE , UTI, B/L lymphadenitis","Infectious Diseases, Kidney Ailments, Other (Lymphatic System)"
AGE with Dehydration Enteric fever with LBA Allergic Dermatitis,Infectious Diseases
AGE WITH DEHYDRATION/DM,Endocrine Disorders (with Dehydration)
AGE WITH ENTERIC FEVER,Infectious Diseases
AGE WITH FEVER,Infectious Diseases
AGE WITH FEVER,Infectious Diseases
AGE with hypovolemic shock,Other (Circulatory)
Age-related incipient cataract,Eye Disorders
"AGE, SEVERE ANEMIA",Other (Hematological)
ANAL FISSURE,Gastrointestinal Disorders
"Anal fissure, unspecified",Gastrointestinal Disorders
"Anal fissure, unspecified",Gastrointestinal Disorders
ANAL FISTULA,Gastrointestinal Disorders
Anemia with Electrolyte imbalance,Other (Hematological with Electrolyte Issue)
Angina,Heart Ailments
Angina pectoris,Heart Ailments
angiomyolipoma of uterus,Maternity & Reproductive Health (Uterine)
ankle dislocation,Musculoskeletal Disorders
Ankyloglossia,Other
ano rectal malformation,Congenital Disorders
ARDS OF NEWBORN,Respiratory Disorders (Neonatal)
"Arthritis ,proteinuria",Musculoskeletal Disorders (Kidney Complication)
ATRIAL SEPTAL DEFECT,Heart Ailments
AUB,Maternity & Reproductive Health (Abnormal Uterine Bleeding)
AUB,Maternity & Reproductive Health (Abnormal Uterine Bleeding)
aub,Maternity & Reproductive Health (Abnormal Uterine Bleeding)
Autism,Mental Health
B/L NEOHROLITHIASIS,Kidney Ailments
B/L Renal parenchyma,Kidney Ailments
BALANOPOSTHITIS,Genitourinary Disorders
balanoposthitis with phimosis,Genitourinary Disorders
BE MYOPIA WITH ASTIGMATISM,Eye Disorders
Benign neoplasm of breast,Maternity & Reproductive Health (Breast)
benzodiazepine intoxication,Other (Substance Intoxication)
"Bi inguinal hernia, w obst, w/o gangrene, not spcf as recur",Gastrointestinal Disorders (Hernia)
Bilateral Inguinal Hernia,Gastrointestinal Disorders
BILATERAL RENAL LEFT UPPER URETERIC CALCULUS,Kidney Ailments
BILATERAL RENAL LEFT UPPER URETERIC CALCULUS,Kidney Ailments
BILATERAL RENAL LEFT UPPER URETERIC CALCULUS,Kidney Ailments
Biltaeral Recurrent Otitis Media,"Ear, Nose & Throat Disorders"
bl renal calculus,Kidney Ailments
"BL RENAL STONES , UPPER URETER CALCULI",Kidney Ailments
BOTH EYE myopia,Eye Disorders
BOTH EYE REFRACTIVE ERROR,Eye Disorders
BR ASTHMA PCOVID,Respiratory Disorders
Breathing Difficulty/cough,Respiratory Disorders
Bronchial asthma - acute exacerbation,Respiratory Disorders
BRONCHITIS,Respiratory Disorders
Bronchopneumonia With Pulmonary Kochs With Respiratory Distress With Mechanical Ventilation Provisi,Respiratory Disorders (with Tuberculosis)
Bulbar URETHRAL STRICTURE,Genitourinary Disorders
C section delievery with pre and post hospitalization,Maternity & Reproductive Health
"C/O SHORTNESS OF BREATH,COUGH",Respiratory Disorders
CA,Cancer
CA GE Junction,Cancer (Gastrointestinal)
"Ca Tongue ,pleural effusion",Cancer (Respiratory Complication)
"Ca Tongue ,pleural effusion",Cancer (Respiratory Complication)
CAD,Heart Ailments
CAD,Heart Ailments
CAD ACS,Heart Ailments
CAD ACS UNSTABLE ANGINA,Heart Ailments
"CAD-ACS,NSTEMI",Heart Ailments
CALCULUS OF GALLBLADDER,Gastrointestinal Disorders
CALCULUS OF KIDNEY,Kidney Ailments
Calculus of kidney,Kidney Ailments
CARCINOMA BREAST,Cancer
CARCINOMA IN SITU OF BREAST,Cancer
Carcinoma in situ of skin,Cancer
Carcinoma Left Breast,Cancer
carcinoma of GE junction,Cancer (Gastrointestinal)
CARCINOMA PROSTATE,Cancer (Prostate)
carcinoma stomach,Cancer (Gastrointestinal)
Cardiogenic shock,Heart Ailments
Cardiomegaly,Cardiovascular Disorders
CATARACT,Eye Disorders
cataract,Eye Disorders
CATARACT,Eye Disorders
cataract,Eye Disorders
Cataract LE,Eye Disorders
CATARACT LE,Eye Disorders
Cataract Operation,Eye Disorders
Cataract Re,Eye Disorders
CATARACT RE,Eye Disorders
CATARACT RIGHT EYE,Eye Disorders
Cataract Surgery,Eye Disorders
Cataract Surgery,Eye Disorders
Cataract Surgery,Eye Disorders
Cataract Surgery - Left Ey,Eye Disorders
Cataract Surgery Left Eye,Eye Disorders
Cataract Surgery Left Eye,Eye Disorders
Cause Of Death- Acute Lvf In Cardiogenic Shock With Severe Metabolic Acidosis / Hyperkalemia,"Heart Ailments (Cardiogenic Shock, Metabolic)"
CEREBRAL INFARCT,Neurological Disorders (Stroke)
Cerebral infarction,Neurological Disorders (Stroke)
Cerebrovascular disease,Neurological Disorders (Stroke)
Cervical Encirclage,Maternity & Reproductive Health
CERVICAL LYMPADENOPATHY,Other (Lymphatic System)
Cesarean Delivery,Maternity & Reproductive Health
Cesarean Delivery,Maternity & Reproductive Health
Chemotherapy,Cancer
Chemotherapy,Cancer
Chemotherapy,Cancer
Chemotherapy,Cancer
Chemotherapy,Cancer
CHEST PAIN,Cardiovascular Disorders (Symptom)
CHEST PAIN,Cardiovascular Disorders (Symptom)
CHEST PAIN,Cardiovascular Disorders (Symptom)
CHEST PAIN,Cardiovascular Disorders (Symptom)
CHEST PAIN,Cardiovascular Disorders (Symptom)
Cholecystitis,Gastrointestinal Disorders
cholelithasis wih chronic cholecystitis,Gastrointestinal Disorders
Cholelithiasis,Gastrointestinal Disorders
CHOLELITHIASIS,Gastrointestinal Disorders
CHOLELITHIASIS,Gastrointestinal Disorders
Cholelithiasis,Gastrointestinal Disorders
Cholelithiasis,Gastrointestinal Disorders
CHOLELITHIASIS,Gastrointestinal Disorders
Cholelithiasis,Gastrointestinal Disorders
CHOLELITHIASIS,Gastrointestinal Disorders
CHOLELITHIASIS,Gastrointestinal Disorders
CHOLELITHIASIS,Gastrointestinal Disorders
CHOLELITHIASIS,Gastrointestinal Disorders
CHOLELITHIASIS--LAP CHOLE,Gastrointestinal Disorders
cholelithiasis.,Gastrointestinal Disorders
Chronic Adenoiditis Grade 3 Adenoid Hypertrophy,"Ear, Nose & Throat Disorders"
